Shipment_ID,Origin,Destination,Distance_km,Vehicle_Type,Route_Traffic_Index,Weather,Driver_Experience_Years,Scheduled_Delivery_Hours,Actual_Delivery_Hours,Delayed
S0001,Ahmedabad,Pune,913.3,Truck,5.6,Clear,1.7,16.0,18.6,1
S0002,Kolkata,Kolkata,919.3,Truck,9.1,Stormy,,16.6,23.2,1
S0003,Pune,Hyderabad,1462.8,Truck,9.0,Clear,2.2,23.4,27.6,1
S0004,Chennai,Hyderabad,80.9,Truck,8.4,Rainy,1.0,2.9,6.0,1
S0005,Ahmedabad,Bangalore,715.1,Truck,5.6,Rainy,5.9,10.1,11.6,1
S0006,Lucknow,Kolkata,1646.5,Truck,,Clear,4.8,26.1,28.9,1
S0007,Bangalore,Bangalore,1226.3,Truck,5.6,Clear,3.3,21.3,22.6,1
S0008,Ahmedabad,Kolkata,707.6,Air,8.8,Clear,2.5,1.4,1.8,1
S0009,Pune,Delhi,1815.8,Rail,4.6,Clear,12.0,19.5,20.7,1
S0010,Chennai,Pune,1556.6,Truck,9.7,Rainy,0.1,24.8,30.1,1
S0011,Kolkata,Delhi,566.5,Truck,9.4,Clear,7.3,8.5,10.9,1
S0012,Pune,Lucknow,1308.3,Air,7.7,Clear,11.6,3.0,1.5,0
S0013,Pune,Mumbai,1211.7,Rail,3.5,Clear,3.0,15.7,15.1,0
S0014,Bangalore,Chennai,832.3,Rail,2.2,Foggy,,13.0,12.0,0
S0015,Hyderabad,Kolkata,765.6,Truck,8.7,Rainy,14.5,10.8,14.1,1
S0016,Chennai,Lucknow,719.9,Truck,2.5,Rainy,1.2,10.1,11.3,1
S0017,Delhi,Mumbai,1253.5,Truck,8.7,Rainy,,19.8,24.1,1
S0018,Pune,Ahmedabad,912.7,Truck,5.4,Clear,,17.2,17.8,0
S0019,Hyderabad,Pune,1672.1,Rail,4.7,Rainy,,21.2,19.8,0
S0020,Delhi,Bangalore,1355.7,Rail,9.1,Clear,8.5,16.7,16.0,0
S0021,Chennai,Bangalore,186.4,Truck,6.4,Rainy,11.5,4.5,6.0,1
S0022,Mumbai,Delhi,1298.3,Air,6.2,Rainy,7.6,1.0,1.5,1
S0023,Lucknow,Hyderabad,578.7,Truck,,Clear,1.1,13.6,14.6,0
S0024,Hyderabad,Mumbai,1206.0,Truck,4.3,Rainy,0.5,20.4,24.4,1
S0025,Jaipur,Ahmedabad,1376.3,Truck,8.1,Foggy,4.6,24.0,27.8,1
S0026,Mumbai,Lucknow,500.1,Air,,Clear,0.3,1.0,0.9,0
S0027,Lucknow,Pune,940.9,Truck,9.5,Rainy,5.6,14.2,19.2,1
S0028,Bangalore,Mumbai,421.1,Air,9.0,Clear,,1.5,2.6,1
S0029,Ahmedabad,Ahmedabad,152.1,Rail,4.0,Clear,5.4,1.0,2.2,1
S0030,Kolkata,Chennai,788.0,Truck,7.6,Clear,4.5,15.4,14.9,0
S0031,Jaipur,Kolkata,757.7,Truck,6.2,Clear,2.7,12.0,14.7,1
S0032,Bangalore,Bangalore,1991.2,Air,4.0,Foggy,1.1,1.5,2.8,1
S0033,Chennai,Lucknow,920.4,Truck,9.9,Foggy,1.8,15.4,20.4,1
S0034,Bangalore,Bangalore,700.5,Air,1.2,Rainy,3.7,1.1,2.2,1
S0035,Ahmedabad,Lucknow,1181.9,Air,3.3,Clear,5.3,1.0,0.5,0
S0036,Chennai,Delhi,223.1,Truck,5.7,Foggy,,6.6,11.9,1
S0037,Jaipur,Hyderabad,1925.2,Truck,5.7,Clear,7.3,32.1,35.0,1
S0038,Ahmedabad,Lucknow,1288.2,Air,6.3,Foggy,18.0,1.0,0.7,0
S0039,Delhi,Bangalore,1521.9,Rail,7.8,Clear,1.7,21.9,23.4,1
S0040,Kolkata,Delhi,382.4,Truck,6.6,,0.4,9.6,12.0,1
S0041,Jaipur,Lucknow,848.5,Truck,6.4,Rainy,2.1,12.1,15.6,1
S0042,Delhi,Chennai,874.2,Truck,1.5,Clear,6.8,17.0,15.0,0
S0043,Lucknow,Hyderabad,1652.5,Air,4.4,Clear,2.9,1.8,2.5,1
S0044,Jaipur,Lucknow,52.4,Rail,3.1,Clear,8.5,1.0,1.4,1
S0045,Lucknow,Delhi,636.7,Rail,3.4,Clear,4.0,8.1,7.4,0
S0046,Chennai,Mumbai,1963.4,Truck,6.0,Clear,13.3,34.7,36.2,1
S0047,Delhi,Jaipur,976.0,Truck,2.8,Clear,14.8,15.6,14.4,0
S0048,Kolkata,Ahmedabad,795.9,Air,3.6,Clear,0.4,1.0,0.5,0
S0049,Ahmedabad,Jaipur,283.7,Truck,3.1,Clear,3.0,1.3,0.5,0
S0050,Pune,Jaipur,1949.6,Truck,9.5,Rainy,4.7,31.2,35.7,1
S0051,Bangalore,Pune,89.1,Truck,9.5,Clear,,2.4,3.7,1
S0052,Mumbai,Chennai,1487.5,Rail,6.5,Foggy,,19.3,18.6,0
S0053,Kolkata,Mumbai,1548.8,Air,9.3,Foggy,,2.0,1.6,0
S0054,Delhi,Kolkata,525.1,Truck,8.1,Clear,1.3,10.2,12.6,1
S0055,Pune,Lucknow,1359.5,Truck,6.3,Rainy,4.6,22.4,24.2,1
S0056,Kolkata,Ahmedabad,231.2,Rail,1.1,Rainy,6.0,2.2,5.0,1
S0057,Delhi,Hyderabad,551.2,Air,8.0,Stormy,0.5,1.0,3.2,1
S0058,Hyderabad,Mumbai,1586.4,Truck,7.3,Clear,3.4,26.2,28.2,1
S0059,Hyderabad,Bangalore,1736.1,Truck,6.5,Clear,1.5,30.6,31.5,0
S0060,Lucknow,Kolkata,1236.5,Truck,7.8,Rainy,6.4,22.0,29.6,1
S0061,Kolkata,Pune,1038.3,Air,5.6,Rainy,1.1,2.6,5.0,1
S0062,Hyderabad,Pune,360.6,Truck,7.3,Rainy,11.1,7.0,8.7,1
S0063,Delhi,Mumbai,173.1,Truck,9.4,,2.8,3.4,5.4,1
S0064,Lucknow,Delhi,279.4,Rail,4.4,Foggy,1.1,2.3,3.0,1
S0065,Delhi,Jaipur,493.3,Rail,7.4,Stormy,2.9,5.9,7.4,1
S0066,Lucknow,Bangalore,716.3,Truck,5.3,Clear,2.6,17.4,19.1,1
S0067,Kolkata,Pune,792.8,Air,7.1,Clear,2.8,1.6,1.8,1
S0068,Pune,Ahmedabad,725.3,Truck,7.9,Clear,4.4,14.5,19.1,1
S0069,Ahmedabad,Pune,516.2,Truck,1.4,Rainy,3.7,10.0,10.4,0
S0070,Jaipur,Hyderabad,1044.0,Truck,6.8,Rainy,0.8,20.3,24.3,1
S0071,Pune,Lucknow,1659.3,Rail,3.0,Rainy,0.3,21.6,23.5,1
S0072,Chennai,Pune,595.4,Truck,7.0,Clear,,9.2,7.3,0
S0073,Delhi,Hyderabad,1887.7,Air,5.2,Clear,4.1,1.8,3.0,1
S0074,Chennai,Mumbai,1753.0,Rail,,Clear,2.2,23.3,25.6,1
S0075,Pune,Mumbai,365.4,Rail,2.1,,8.3,3.8,6.1,1
S0076,Lucknow,Kolkata,1583.2,Rail,6.6,Rainy,2.5,20.2,21.3,1
S0077,Jaipur,Pune,1170.4,Rail,3.5,Stormy,7.9,16.4,17.4,0
S0078,Jaipur,Ahmedabad,1154.8,Truck,8.7,Foggy,1.8,17.2,19.6,1
S0079,Mumbai,Pune,812.5,Truck,9.4,Foggy,,15.7,19.2,1
S0080,Jaipur,Ahmedabad,1027.2,Air,10.0,Clear,13.5,5.5,5.5,0
S0081,Ahmedabad,Chennai,824.5,Truck,8.2,Clear,2.5,10.8,11.8,0
S0082,Jaipur,Kolkata,1102.5,Rail,7.8,Rainy,7.9,14.0,14.8,0
S0083,Pune,Chennai,1274.5,Air,2.9,Foggy,1.6,1.0,2.4,1
S0084,Mumbai,Pune,1364.9,Truck,4.0,Clear,,24.4,23.0,0
S0085,Pune,Kolkata,1088.3,Rail,5.2,Clear,10.3,17.5,16.7,0
S0086,Pune,Chennai,1456.8,Truck,8.0,Clear,,22.3,21.7,0
S0087,Bangalore,Jaipur,325.5,Truck,9.2,Rainy,8.9,7.9,12.0,1
S0088,Mumbai,Pune,463.4,Truck,2.7,Clear,,6.8,3.7,0
S0089,Pune,Chennai,1646.5,Truck,9.3,,,26.7,32.4,1
S0090,Bangalore,Jaipur,678.9,Rail,7.3,Clear,3.7,4.2,3.4,0
S0091,Bangalore,Jaipur,94.6,Rail,6.5,Clear,10.4,4.8,6.6,1
S0092,Mumbai,Mumbai,349.9,Rail,2.8,Foggy,0.2,3.2,4.4,1
S0093,Chennai,Pune,486.0,Truck,1.5,Clear,1.5,9.0,8.1,0
S0094,Lucknow,Jaipur,1916.8,Truck,6.1,Rainy,10.4,35.5,38.6,1
S0095,Ahmedabad,Mumbai,1167.4,Rail,6.9,Rainy,,16.9,17.3,0
